year_month,domain,question_count
2020-01,AI / ML,20646
2020-01,Fast-Moving Web,26689
2020-01,Legacy Stable,32485
2020-01,Other,66844
2020-02,AI / ML,20662
2020-02,Fast-Moving Web,26104
2020-02,Legacy Stable,32510
2020-02,Other,65840
2020-03,AI / ML,23429
2020-03,Fast-Moving Web,28722
2020-03,Legacy Stable,34534
2020-03,Other,69284
2020-04,AI / ML,28428
2020-04,Fast-Moving Web,33767
2020-04,Legacy Stable,39576
2020-04,Other,81152
2020-05,AI / ML,30103
2020-05,Fast-Moving Web,35104
2020-05,Legacy Stable,38959
2020-05,Other,82312
2020-06,AI / ML,27870
2020-06,Fast-Moving Web,32214
2020-06,Legacy Stable,35747
2020-06,Other,76085
2020-07,AI / ML,26800
2020-07,Fast-Moving Web,32224
2020-07,Legacy Stable,34437
2020-07,Other,72589
2020-08,AI / ML,23490
2020-08,Fast-Moving Web,29118
2020-08,Legacy Stable,30891
2020-08,Other,64866
2020-09,AI / ML,22082
2020-09,Fast-Moving Web,27177
2020-09,Legacy Stable,29105
2020-09,Other,63428
2020-10,AI / ML,23139
2020-10,Fast-Moving Web,26798
2020-10,Legacy Stable,29214
2020-10,Other,62674
2020-11,AI / ML,22518
2020-11,Fast-Moving Web,24816
2020-11,Legacy Stable,28266
2020-11,Other,59356
2020-12,AI / ML,22512
2020-12,Fast-Moving Web,25511
2020-12,Legacy Stable,26963
2020-12,Other,58938
2021-01,AI / ML,23231
2021-01,Fast-Moving Web,27096
2021-01,Legacy Stable,27471
2021-01,Other,62095
2021-02,AI / ML,21808
2021-02,Fast-Moving Web,24569
2021-02,Legacy Stable,26254
2021-02,Other,59071
2021-03,AI / ML,24305
2021-03,Fast-Moving Web,27539
2021-03,Legacy Stable,29452
2021-03,Other,67487
2021-04,AI / ML,22783
2021-04,Fast-Moving Web,25553
2021-04,Legacy Stable,27013
2021-04,Other,60552
2021-05,AI / ML,22517
2021-05,Fast-Moving Web,25811
2021-05,Legacy Stable,26599
2021-05,Other,58905
2021-06,AI / ML,20992
2021-06,Fast-Moving Web,24612
2021-06,Legacy Stable,25776
2021-06,Other,57638
2021-07,AI / ML,20705
2021-07,Fast-Moving Web,24348
2021-07,Legacy Stable,23844
2021-07,Other,55120
2021-08,AI / ML,19961
2021-08,Fast-Moving Web,24165
2021-08,Legacy Stable,23131
2021-08,Other,54860
2021-09,AI / ML,19045
2021-09,Fast-Moving Web,23749
2021-09,Legacy Stable,23180
2021-09,Other,53829
2021-10,AI / ML,19972
2021-10,Fast-Moving Web,22758
2021-10,Legacy Stable,23283
2021-10,Other,52912
2021-11,AI / ML,20145
2021-11,Fast-Moving Web,22140
2021-11,Legacy Stable,24260
2021-11,Other,52625
2021-12,AI / ML,18978
2021-12,Fast-Moving Web,21621
2021-12,Legacy Stable,22288
2021-12,Other,49307
2022-01,AI / ML,19792
2022-01,Fast-Moving Web,23227
2022-01,Legacy Stable,22822
2022-01,Other,53513
2022-02,AI / ML,19376
2022-02,Fast-Moving Web,21457
2022-02,Legacy Stable,21574
2022-02,Other,51623
2022-03,AI / ML,20936
2022-03,Fast-Moving Web,23012
2022-03,Legacy Stable,23809
2022-03,Other,55738
2022-04,AI / ML,19905
2022-04,Fast-Moving Web,21897
2022-04,Legacy Stable,22312
2022-04,Other,50146
2022-05,AI / ML,19598
2022-05,Fast-Moving Web,22100
2022-05,Legacy Stable,23142
2022-05,Other,51384
2022-06,AI / ML,19000
2022-06,Fast-Moving Web,21167
2022-06,Legacy Stable,21408
2022-06,Other,49959
2022-07,AI / ML,19132
2022-07,Fast-Moving Web,21524
2022-07,Legacy Stable,20650
2022-07,Other,49626
2022-08,AI / ML,18876
2022-08,Fast-Moving Web,21794
2022-08,Legacy Stable,21002
2022-08,Other,51279
2022-09,AI / ML,17200
2022-09,Fast-Moving Web,19764
2022-09,Legacy Stable,19599
2022-09,Other,47282
2022-10,AI / ML,18628
2022-10,Fast-Moving Web,19626
2022-10,Legacy Stable,20146
2022-10,Other,47823
2022-11,AI / ML,19064
2022-11,Fast-Moving Web,19995
2022-11,Legacy Stable,20828
2022-11,Other,49692
2022-12,AI / ML,16177
2022-12,Fast-Moving Web,18176
2022-12,Legacy Stable,18404
2022-12,Other,43866
2023-01,AI / ML,15274
2023-01,Fast-Moving Web,17894
2023-01,Legacy Stable,18137
2023-01,Other,45715
2023-02,AI / ML,13315
2023-02,Fast-Moving Web,15670
2023-02,Legacy Stable,16001
2023-02,Other,40882
2023-03,AI / ML,13082
2023-03,Fast-Moving Web,15576
2023-03,Legacy Stable,16854
2023-03,Other,41857
2023-04,AI / ML,10325
2023-04,Fast-Moving Web,12269
2023-04,Legacy Stable,13038
2023-04,Other,32999
2023-05,AI / ML,9694
2023-05,Fast-Moving Web,11998
2023-05,Legacy Stable,12480
2023-05,Other,32440
2023-06,AI / ML,9200
2023-06,Fast-Moving Web,11233
2023-06,Legacy Stable,12327
2023-06,Other,30973
2023-07,AI / ML,9198
2023-07,Fast-Moving Web,11465
2023-07,Legacy Stable,11851
2023-07,Other,30341
2023-08,AI / ML,8418
2023-08,Fast-Moving Web,10526
2023-08,Legacy Stable,11199
2023-08,Other,30047
2023-09,AI / ML,7060
2023-09,Fast-Moving Web,9072
2023-09,Legacy Stable,10147
2023-09,Other,26560
2023-10,AI / ML,7197
2023-10,Fast-Moving Web,8540
2023-10,Legacy Stable,10204
2023-10,Other,26487
2023-11,AI / ML,6848
2023-11,Fast-Moving Web,8153
2023-11,Legacy Stable,9866
2023-11,Other,25500
2023-12,AI / ML,5666
2023-12,Fast-Moving Web,7309
2023-12,Legacy Stable,8337
2023-12,Other,21104
2024-01,AI / ML,6349
2024-01,Fast-Moving Web,8137
2024-01,Legacy Stable,8951
2024-01,Other,24264
2024-02,AI / ML,6274
2024-02,Fast-Moving Web,7556
2024-02,Legacy Stable,8887
2024-02,Other,23340
2024-03,AI / ML,6087
2024-03,Fast-Moving Web,7612
2024-03,Legacy Stable,8539
2024-03,Other,22565
2024-04,AI / ML,6026
2024-04,Fast-Moving Web,6869
2024-04,Legacy Stable,8268
2024-04,Other,21310
2024-05,AI / ML,5638
2024-05,Fast-Moving Web,6514
2024-05,Legacy Stable,7864
2024-05,Other,20142
2024-06,AI / ML,4271
2024-06,Fast-Moving Web,5193
2024-06,Legacy Stable,6121
2024-06,Other,16429
2024-07,AI / ML,4216
2024-07,Fast-Moving Web,5015
2024-07,Legacy Stable,6055
2024-07,Other,16214
2024-08,AI / ML,3716
2024-08,Fast-Moving Web,4438
